Finland, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Exposure
1962     29        26957.12
1962     30        28400.56
1962     31        29848.05
1962     32        30660.85
1962     33        31128.62
1962     34        30281.23
1962     35        29857.39
1962     36        30443.51
1962     37        30183.14
1962     38        31174.44
1962     39        30574.99
1962     40        30728.33
1962     41        31305.21
1962     42        28711.10
1962     43        24488.05
1962     44        28065.57
1962     45        27474.78
1962     46        26982.87
1962     47        28580.11
1962     48        29079.87
1962     49        29630.90
1962     50        29982.93
1962     51        29772.09
1962     52        29664.72
1962     53        29391.18
1962     54        28509.98
1962     55        27959.15
1963     12        44514.06
1963     13        46429.90
1963     14        48553.35
1963     15        49030.92
1963     16        48890.53
1963     17        49931.63
1963     18        36731.92
1963     19        35024.21
1963     20        30567.21
1963     21        33033.53
1963     22        32618.19
1963     23        32525.27
1963     24        32144.23
1963     25        30661.58
1963     26        28724.46
1963     27        28504.62
1963     28        27899.65
1963     29        26734.34
1963     30        26750.91
1963     31        28363.33
1963     32        29728.08
1963     33        30599.56
1963     34        31064.22
1963     35        30183.36
1963     36        29820.58
1963     37        30324.60
1963     38        30121.06
1963     39        31130.29
1963     40        30470.26
1963     41        30667.91
1963     42        31188.24
1963     43        28594.01
1963     44        24419.21
1963     45        27966.75
1963     46        27383.20
1963     47        26864.33
1963     48        28467.43
1963     49        28938.59
1963     50        29443.45
1963     51        29792.03
1963     52        29595.85
1963     53        29461.91
1963     54        29209.63
1963     55        28257.40
1964     12        43636.11
1964     13        44394.08
1964     14        46427.64
1964     15        48423.59
1964     16        48841.68
1964     17        48631.27
1964     18        49507.32
1964     19        36270.54
1964     20        34733.41
1964     21        30034.94
1964     22        32727.93
1964     23        32105.12
1964     24        32012.22
1964     25        31722.58
1964     26        30270.31
1964     27        28361.02
1964     28        27946.57
1964     29        27684.66
1964     30        26410.53
1964     31        26703.89
1964     32        28186.30
1964     33        29623.00
1964     34        30567.84
1964     35        30966.03
1964     36        30170.89
1964     37        29687.45
1964     38        30233.86
1964     39        30112.98
1964     40        30985.19
1964     41        30436.61
1964     42        30556.99
1964     43        31072.53
1964     44        28550.62
1964     45        24320.47
1964     46        27859.18
1964     47        27235.94
1964     48        26750.95
1964     49        28353.25
1964     50        28772.70
1964     51        29226.65
1964     52        29671.04
1964     53        29377.40
1964     54        29301.36
1964     55        28949.61
1965     12        43399.53
1965     13        43483.95
1965     14        44427.89
1965     15        46170.71
1965     16        48065.36
1965     17        48438.49
1965     18        48146.71
1965     19        48526.11
1965     20        35772.92
1965     21        33934.48
1965     22        29713.43
1965     23        32015.47
1965     24        31472.15
1965     25        31394.77
1965     26        31205.79
1965     27        29754.85
1965     28        27653.93
1965     29        27708.51
1965     30        27280.22
1965     31        26421.56
1965     32        26441.51
1965     33        28113.58
1965     34        29584.95
1965     35        30450.70
1965     36        30956.44
1965     37        29955.02
1965     38        29579.77
1965     39        30239.00
1965     40        29936.44
1965     41        30947.99
1965     42        30286.07
1965     43        30420.35
1965     44        31025.45
1965     45        28405.47
1965     46        24232.17
1965     47        27661.29
1965     48        27152.68
1965     49        26645.95
1965     50        28176.13
1965     51        28516.46
1965     52        29177.04
1965     53        29468.12
1965     54        29265.52
1965     55        29021.80
